caso,t,sigma,criterio,ciclo,r_k,r_prev,q_k
cero γ≈1000,1001.3494,0.5,angular,72,0.028689,0.028619,1.002434
cero γ≈1000,1001.3494,0.5,angular,73,0.028827,0.028689,1.004816
cero γ≈1000,1001.3494,0.5,angular,74,0.028786,0.028827,0.998575
cero γ≈1000,1001.3494,0.5,angular,75,0.028888,0.028786,1.003545
cero γ≈1000,1001.3494,0.5,angular,76,0.028965,0.028888,1.002666
cero γ≈1000,1001.3494,0.5,angular,77,0.028969,0.028965,1.000148
cero γ≈1000,1001.3494,0.5,angular,78,0.029101,0.028969,1.004563
cero γ≈1000,1001.3494,0.5,angular,79,0.029083,0.029101,0.999370
cero γ≈1000,1001.3494,0.5,angular,80,0.029207,0.029083,1.004263
cero γ≈1000,1001.3494,0.5,angular,81,0.029240,0.029207,1.001149
cero γ≈1000,1001.3494,0.5,angular,82,0.029292,0.029240,1.001761
cero γ≈1000,1001.3494,0.5,angular,83,0.029432,0.029292,1.004772
cero γ≈1000,1001.3494,0.5,angular,84,0.029375,0.029432,0.998058
cero γ≈1000,1001.3494,0.5,angular,85,0.029493,0.029375,1.004019
cero γ≈1000,1001.3494,0.5,angular,86,0.029602,0.029493,1.003703
cero γ≈1000,1001.3494,0.5,angular,87,0.029623,0.029602,1.000716
cero γ≈1000,1001.3494,0.5,angular,88,0.029661,0.029623,1.001271
cero γ≈1000,1001.3494,0.5,angular,89,0.029752,0.029661,1.003082
cero γ≈1000,1001.3494,0.5,angular,90,0.029835,0.029752,1.002782
cero γ≈1000,1001.3494,0.5,angular,91,0.029910,0.029835,1.002519
cero γ≈1000,1001.3494,0.5,angular,92,0.029979,0.029910,1.002318
cero γ≈1000,1001.3494,0.5,angular,93,0.030045,0.029979,1.002180
cero γ≈1000,1001.3494,0.5,angular,94,0.030108,0.030045,1.002096
cero γ≈1000,1001.3494,0.5,angular,95,0.030170,0.030108,1.002058
cero γ≈1000,1001.3494,0.5,angular,96,0.030232,0.030170,1.002060
cero γ≈1000,1001.3494,0.5,angular,97,0.030295,0.030232,1.002101
cero γ≈1000,1001.3494,0.5,angular,98,0.030362,0.030295,1.002187
cero γ≈1000,1001.3494,0.5,angular,99,0.030432,0.030362,1.002323
cero γ≈1000,1001.3494,0.5,angular,100,0.030509,0.030432,1.002514
cero γ≈1000,1001.3494,0.5,angular,101,0.030593,0.030509,1.002754
cero γ≈1000,1001.3494,0.5,angular,102,0.030685,0.030593,1.003015
cero γ≈1000,1001.3494,0.5,angular,103,0.030718,0.030685,1.001084
cero γ≈1000,1001.3494,0.5,angular,104,0.030781,0.030718,1.002051
cero γ≈1000,1001.3494,0.5,angular,105,0.030894,0.030781,1.003652
cero γ≈1000,1001.3494,0.5,angular,106,0.030959,0.030894,1.002134
cero γ≈1000,1001.3494,0.5,angular,107,0.030999,0.030959,1.001287
cero γ≈1000,1001.3494,0.5,angular,108,0.031156,0.030999,1.005044
cero γ≈1000,1001.3494,0.5,angular,109,0.031118,0.031156,0.998805
cero γ≈1000,1001.3494,0.5,angular,110,0.031286,0.031118,1.005385
cero γ≈1000,1001.3494,0.5,angular,111,0.031294,0.031286,1.000247
cero γ≈1000,1001.3494,0.5,angular,112,0.031450,0.031294,1.004998
cero γ≈1000,1001.3494,0.5,angular,113,0.031436,0.031450,0.999548
cero γ≈1000,1001.3494,0.5,angular,114,0.031570,0.031436,1.004264
cero γ≈1000,1001.3494,0.5,angular,115,0.031659,0.031570,1.002812
cero γ≈1000,1001.3494,0.5,angular,116,0.031685,0.031659,1.000817
cero γ≈1000,1001.3494,0.5,angular,117,0.031796,0.031685,1.003524
cero γ≈1000,1001.3494,0.5,angular,118,0.031897,0.031796,1.003180
cero γ≈1000,1001.3494,0.5,angular,119,0.031989,0.031897,1.002869
cero γ≈1000,1001.3494,0.5,angular,120,0.031995,0.031989,1.000192
cero γ≈1000,1001.3494,0.5,angular,121,0.032103,0.031995,1.003376
cero γ≈1000,1001.3494,0.5,angular,122,0.032191,0.032103,1.002750
cero γ≈1000,1001.3494,0.5,angular,123,0.032277,0.032191,1.002650
cero γ≈1000,1001.3494,0.5,angular,124,0.032360,0.032277,1.002595
cero γ≈1000,1001.3494,0.5,angular,125,0.032444,0.032360,1.002584
cero γ≈1000,1001.3494,0.5,angular,126,0.032529,0.032444,1.002618
cero γ≈1000,1001.3494,0.5,angular,127,0.032617,0.032529,1.002694
cero γ≈1000,1001.3494,0.5,angular,128,0.032725,0.032617,1.003326
cero γ≈1000,1001.3494,0.5,angular,129,0.032759,0.032725,1.001023
cero γ≈1000,1001.3494,0.5,angular,130,0.032850,0.032759,1.002788
cero γ≈1000,1001.3494,0.5,angular,131,0.032950,0.032850,1.003055
cero γ≈1000,1001.3494,0.5,angular,132,0.033076,0.032950,1.003830
